Organization,Parent,Amount FEC,IRS Exempt?,Type,Cycle
Montana Native Vote,,67651,N,501(c)(4),2016
Credit Union National Assn,,66371,N,501(c)(6),2016
Gun Owners of America,,65931,Y,501(c)(4),2016
Catalyst Oklahoma,,62099,Y,501(c)(4),2016
Planned Parenthood/Pacific Southwest,Planned Parenthood,60236,Y,501(c)(4),2016
Alzheimer's Assn,,60000,N,501(c)(4),2016
Emergency Cmte for Israel,,56800,N,501(c)(4),2016
Extraordinary America,,54675,N,501(c)(4),2016
Illinois AFL-CIO,AFL-CIO,52818,N,Other,2016
North Carolina Latino Power,,50356,N,501(c)(4),2016
Ocean Champions,,50350,Y,501(c)(4),2016
Patriotic Veterans,,50000,Y,501(c)(4),2016
US Chamber of Commerce,,35464243,Y,501(c)(6),2014
Crossroads GPS,American Crossroads/Crossroads GPS,26015713,Y,501(c)(4),2014
NRA Institute for Legislative Action,National Rifle Assn,12675153,Y,501(c)(4),2014
Patriot Majority USA,,10652282,Y,501(c)(4),2014
League of Conservation Voters,,10353920,Y,501(c)(4),2014
American Action Network,Congressional Leadership Fund,8958129,Y,501(c)(4),2014
Kentucky Opportunity Coalition,,7573748,Y,501(c)(4),2014
Ending Spending,,6420885,Y,501(c)(4),2014
Carolina Rising,,3279626,N,501(c)(4),2014
VoteVets.org Action Fund,VoteVets.org,3141632,N,501(c)(4),2014
US Chamber of Commerce,,35464243,Y,501(c)(6),2014
Crossroads GPS,American Crossroads/Crossroads GPS,26015713,Y,501(c)(4),2014
NRA Institute for Legislative Action,National Rifle Assn,12675153,Y,501(c)(4),2014
Patriot Majority USA,,10652282,Y,501(c)(4),2014
League of Conservation Voters,,10353920,Y,501(c)(4),2014
American Action Network,Congressional Leadership Fund,8958129,Y,501(c)(4),2014
Kentucky Opportunity Coalition,,7573748,Y,501(c)(4),2014
Ending Spending,,6420885,Y,501(c)(4),2014
Carolina Rising,,3279626,N,501(c)(4),2014
VoteVets.org Action Fund,VoteVets.org,3141632,N,501(c)(4),2014
Humane Society Legislative Fund,Humane Society of the US,1153670,Y,501(c)(4),2014
Credit Union National Assn,,1062507,N,501(c)(6),2014
America Inc,,954114,Y,501(c)(4),2014
Independent Women's Voice,,943676,Y,501(c)(4),2014
Susan B Anthony List,,943362,Y,501(c)(4),2014
Planned Parenthood Action Fund,Planned Parenthood,930290,Y,501(c)(4),2014
NARAL Pro-Choice America/Colorado,NARAL Pro-Choice America,846929,Y,501(c)(4),2014
60 Plus Assn,,814100,Y,501(c)(4),2014
Focus on the Family,,749382,Y,501(c)(4),2014
Council for American Job Growth,FWD.us,719525,N,501(c)(4),2014
Center Forward,,663518,N,501(c)(4),2014
American Conservative Union,,555823,Y,501(c)(4),2014
Club For Growth,,481773,Y,501(c)(4),2014
Alliance for a Free Society,,450081,N,501(c)(6),2014
Michigan Chamber of Commerce,,401367,Y,501(c)(6),2014
Everytown for Gun Safety Action Fund,Everytown for Gun Safety,386922,Y,501(c)(4),2014
Southern Alliance for Clean Energy,,369915,Y,501(c)(4),2014
Main Street Advocacy,,360000,Y,501(c)(4),2014
Legacy Foundation Action Fund,,351278,N,501(c)(4),2014
People For The American Way,,339874,Y,501(c)(4),2014
Latino Victory Project,,326654,N,501(c)(4),2014
New Jersey Education Assn,National Education Assn,306260,N,501(c)(4),2014
Fuels America,,274366,Y,501(c)(6),2014
Planned Parenthood/Pacific Southwest,Planned Parenthood,254418,Y,501(c)(4),2014
NARAL Pro-Choice America,,254193,Y,501(c)(4),2014
Illinois Chamber of Commerce,,238749,Y,501(c)(6),2014
Foundation for Economic Prosperity,,231622,Y,501(c)(4),2014
Ocean Champions,,221578,Y,501(c)(4),2014
Michigan for All,,198331,N,501(c)(4),2014
American Commitment,,196204,N,501(c)(4),2014
American Medical Assn,,192215,Y,501(c)(6),2014
National Organization for Marriage,,176666,Y,501(c)(4),2014
Freedom Vote,,174604,Y,501(c)(4),2014
Gun Owners of America,,161636,Y,501(c)(4),2014
Independent Insurance Agents & Brokers of America,,149939,Y,501(c)(6),2014
National Council of La Raza,,147521,Y,501(c)(4),2014
Americans For Tax Reform,,122500,Y,501(c)(4),2014
Planned Parenthood/Mar Monte,Planned Parenthood,106444,Y,501(c)(4),2014
State Tea Party Express,Tea Party Express/Our Country Deserves,106137,N,501(c)(4),2014
Feminist Majority,Feminist Majority Foundation,105919,Y,501(c)(4),2014
New Florida Majority,,104524,Y,501(c)(4),2014
Americans for a Conservative Direction,FWD.US,102035,N,501(c)(4),2014
Iowa Citizens for Community Improvement Action,,93196,Y,501(c)(4),2014
Sierra Club,,81374,Y,501(c)(4),2014
Planned Parenthood/Minnesota,Planned Parenthood,78096,Y,501(c)(4),2014
Food Policy Action,,75197,Y,501(c)(4),2014
Health Coalition on Liability & Access,,75000,N,501(c)(4),2014
350.org Action Fund,350.org,62503,Y,501(c)(4),2014
Georgia Credit Union League,Credit Union National Assn,60800,Y,501(c)(6),2014
Catholic Advocate,,59960,Y,501(c)(4),2014
Human Rights Campaign,,55689,Y,501(c)(4),2014
Powerpac.org,,55594,Y,501(c)(4),2014
Crossroads GPS,American Crossroads/Crossroads GPS,71181940,Y,501(c)(4),2012
Americans for Prosperity,,36637579,Y,501(c)(4),2012
US Chamber of Commerce,,35657029,Y,501(c)(6),2012
American Future Fund,,25414586,Y,501(c)(4),2012
Americans for Job Security,,15872864,Y,501(c)(6),2012
Americans for Tax Reform,,15794552,Y,501(c)(4),2012
American Action Network,Congressional Leadership Fund,11689399,Y,501(c)(4),2012
League of Conservation Voters,,11137177,Y,501(c)(4),2012
Americans for Responsible Leadership,,9793014,Y,501(c)(4),2012
NRA Institute for Legislative Action,National Rifle Assn,8607876,Y,501(c)(4),2012
Patriot Majority USA,,7013886,Y,501(c)(4),2012
Planned Parenthood Action Fund,Planned Parenthood,6545371,Y,501(c)(4),2012
60 Plus Assn,,4615892,Y,501(c)(4),2012
Republican Jewish Coalition,,4595666,Y,501(c)(4),2012
YG Network,,2874481,Y,501(c)(4),2012
CitizenLink,Focus on the Family,2574666,Y,501(c)(4),2012
National Federation of Independent Business,,2168004,Y,501(c)(6),2012
VoteVets.org Action Fund,VoteVets.org,2119985,N,501(c)(4),2012
Center Forward,,2057089,N,501(c)(4),2012
Susan B Anthony List,,1961223,Y,501(c)(4),2012
Center for Individual Freedom,,1864735,Y,501(c)(4),2012
American Commitment,,1858765,N,501(c)(4),2012
NARAL Pro-Choice America,,1710358,Y,501(c)(4),2012
Citizens for a Working America,,1555051,Y,501(c)(4),2012
Humane Society Legislative Fund,Humane Society of the US,1490762,Y,501(c)(4),2012
National Assn of Realtors,,1443231,Y,501(c)(6),2012
American Energy Alliance,,1361500,Y,501(c)(4),2012
Americans Elect,,1349282,N,501(c)(4),2012
Ending Spending,,1203090,Y,501(c)(4),2012
VoteVets.org,,1070555,N,501(c)(4),2012
New American Energy Opportunity Foundation,,1016625,N,501(c)(4),2012
Citizen Awareness Project,,1003409,Y,501(c)(4),2012
Independent Women's Voice,,989598,Y,501(c)(4),2012
Michigan League of Conservation Voters,League of Conservation Voters,860237,Y,501(c)(4),2012
Emergency Cmte for Israel,,855660,N,501(c)(4),2012
Hispanic Leadership Fund,,838417,Y,501(c)(4),2012
American Resort Development Assn,,812800,Y,501(c)(6),2012
Veterans for a Strong America,,762122,N,501(c)(4),2012
Fair Share Alliance,,706220,Y,501(c)(4),2012
SecureAmericaNow.org,,670660,Y,501(c)(4),2012
Club for Growth,,660220,Y,501(c)(4),2012
American Chemistry Council,,648600,Y,501(c)(6),2012
National Right to Life,Right to Life,603471,Y,501(c)(4),2012
Faith & Freedom Coalition,,570744,Y,501(c)(4),2012
Special Operations OPSEC Education Fund,,485000,N,501(c)(4),2012
Freedom Path,,457076,N,501(c)(4),2012
National Wildlife Federation Action Fund,National Wildlife Federation,450419,Y,501(c)(4),2012
National Organization for Marriage,,425087,Y,501(c)(4),2012
Concerned Women for America Legislative Action,Concerned Women for America,405350,Y,501(c)(4),2012
Catholic Assn,,332172,Y,501(c)(4),2012
NRDC Action Fund,Natural Resources Defense Council,286750,Y,501(c)(4),2012
USAction,,272380,Y,501(c)(4),2012
Heritage Action for America,Heritage Foundation,236346,Y,501(c)(4),2012
Let Freedom Ring,,224084,Y,501(c)(4),2012
American Majority Action,American Majority,221312,Y,501(c)(4),2012
American Medical Assn,,211324,Y,501(c)(6),2012
Protect the Harvest,,197766,Y,501(c)(4),2012
Texas Credit Union League,Credit Union National Assn,196231,Y,501(c)(6),2012
United Against Illegal Guns Support Fund,,178660,Y,Other,2012
Mayors Against Illegal Guns,Everytown for Gun Safety,175591,Y,501(c)(4),2012
Environment America,,172334,Y,501(c)(4),2012
Health Coalition on Liability & Access,,143709,N,501(c)(6),2012
CatholicVote.org,Fidelis Center,133519,Y,501(c)(4),2012
Working for Michigan,,132584,N,501(c)(4),2012
Progressive Leadership Alliance/Nevada Action Fund,Progressive Leadership Alliance of Nevada,129992,Y,501(c)(4),2012
American Principles in Action,,115699,Y,501(c)(4),2012
Marylanders for Marriage Equality,,110000,N,501(c)(4),2012
Sierra Club,,106711,Y,501(c)(4),2012
Our Community Votes,,105795,N,501(c)(4),2012
Save Hetch Hetchy No On F,,99339,N,Other,2012
Truman National Security Project,,92396,Y,501(c)(4),2012
America's Voice,,91190,Y,501(c)(4),2012
California League of Conservation Voters,League of Conservation Voters,89240,Y,501(c)(4),2012
Patriotic Veterans,,86700,Y,501(c)(4),2012
Human Rights Campaign,,84054,Y,501(c)(4),2012
Common Sense Issues,,79907,Y,501(c)(4),2012
Colorado Family Action,,78045,Y,501(c)(4),2012
Wisconsin Family Action,,75853,Y,501(c)(4),2012
Nevada Advocates for Planned Parenthood,Planned Parenthood,74697,Y,501(c)(4),2012
Gun Owners of America,,70731,Y,501(c)(4),2012
A Better America Now,,65664,Y,501(c)(4),2012
American Conservative Union,,64713,Y,501(c)(4),2012
Americans United 4 Life Action,,61810,Y,501(c)(4),2012
America is not Stupid,,60725,Y,501(c)(4),2012
Montana Hunters & Anglers Action,Montana Hunters & Anglers,60000,N,501(c)(4),2012
Enterprise Freedom Action Cmte,Berman & Co,58065,Y,501(c)(4),2012
Iowa Credit Union League,Credit Union National Assn,56600,Y,501(c)(6),2012
Planned Parenthood/Pacific Southwest,Planned Parenthood,53872,Y,501(c)(4),2012
Women's Voices Women Vote Action Fund,Voter Participation Center,52000,Y,501(c)(4),2012
Direct Selling Assn,,50649,Y,501(c)(6),2012
US Chamber of Commerce,,32351591,Y,501(c)(6),2010
American Action Network,Congressional Leadership Fund,23153601,Y,501(c)(4),2010
Crossroads GPS,American Crossroads/Crossroads GPS,16549807,Y,501(c)(4),2010
American Future Fund,,10081184,Y,501(c)(4),2010
Americans for Job Security,,9513080,Y,501(c)(6),2010
60 Plus Assn,,7116911,Y,501(c)(4),2010
Americans for Tax Reform,,4160299,Y,501(c)(4),2010
League of Conservation Voters,,4026036,Y,501(c)(4),2010
Center for Individual Freedom,,2500610,Y,501(c)(4),2010
Susan B Anthony List,,2392257,Y,501(c)(4),2010
VoteVets.org Action Fund,VoteVets.org,2360867,N,501(c)(4),2010
Revere America,,2265727,N,501(c)(4),2010
National Assn of Realtors,,1768706,Y,501(c)(6),2010
CSS Action Fund,Citizens for Strength & Security,1391879,N,501(c)(4),2010
Americans for Prosperity,,1322058,Y,501(c)(4),2010
Republican Jewish Coalition,,1143465,Y,501(c)(4),2010
Women's Voices Women Vote Action Fund,Women's Voices Women Vote,1128158,Y,501(c)(4),2010
Defenders of Wildlife Action Fund,Defenders of Wildlife,1100126,Y,501(c)(4),2010
Sierra Club,,1090717,Y,501(c)(4),2010
NRA Institute for Legislative Action,National Rifle Assn,1089328,Y,501(c)(4),2010
Americans for Limited Government,,1021378,Y,501(c)(4),2010
National Assn of Manufacturers,,886763,Y,501(c)(6),2010
VoteVets.org,,858003,N,501(c)(4),2010
American Hospital Assn,,794249,Y,501(c)(6),2010
Humane Society Legislative Fund,Humane Society of the US,767365,Y,501(c)(4),2010
Alliance for America's Future,,703772,Y,501(c)(4),2010
Club for Growth,,643300,Y,501(c)(4),2010
National Right to Life,Right to Life,642130,Y,501(c)(4),2010
Arkansans for Common Sense,,637812,N,501(c)(4),2010
West Virginia Conservative Foundation,,634974,Y,501(c)(4),2010
BlueGreen Alliance,,473246,Y,501(c)(4),2010
Advancing Wisconsin,,470421,N,501(c)(4),2010
Independent Women's Voice,,455000,Y,501(c)(4),2010
Coalition to Protect Seniors,,428145,N,501(c)(4),2010
Americans United 4 Life Action,,405484,Y,501(c)(4),2010
NARAL Pro-Choice America,,383446,Y,501(c)(4),2010
National Wildlife Federation Action Fund,National Wildlife Federation,382656,Y,501(c)(4),2010
People for the American Way,,319074,Y,501(c)(4),2010
Planned Parenthood/Pennsylvania,Planned Parenthood,280304,Y,501(c)(4),2010
Our Community Votes,,272445,N,501(c)(4),2010
Jordan Credit Union,,258500,N,Other,2010
America Votes,,252876,Y,501(c)(4),2010
American Principles in Action,,243541,Y,501(c)(4),2010
American Chemistry Council,,225000,Y,501(c)(6),2010
Faith & Freedom Coalition,,216441,Y,501(c)(4),2010
National Organization for Marriage,,208176,Y,501(c)(4),2010
Illinois Chamber of Commerce,,200000,Y,501(c)(6),2010
Citizens for the Republic,,195411,Y,501(c)(4),2010
Rightchange.com,,192070,N,501(c)(4),2010
Environment America,,164911,Y,501(c)(4),2010
Common Sense Issues,,160482,Y,501(c)(4),2010
American Majority Action,American Majority,157624,Y,501(c)(4),2010
CARE Membership Organization,Colorado Rural Electric Assn,154310,N,501(c)(6),2010
National Federation of Independent Business,,140129,Y,501(c)(6),2010
Progressive Future,,136733,Y,501(c)(4),2010
Indiana Chamber of Commerce,,126410,Y,501(c)(6),2010
Michigan Citizens for Fiscal Responsibility,,125000,N,501(c)(4),2010
Campaign for Community Change,Center for Community Change,118623,Y,501(c)(4),2010
Pennsylvania Business Council,,117992,Y,501(c)(6),2010
Bull Moose Sportsmen's Alliance,,117540,N,501(c)(4),2010
Wisconsin Manufacturers & Commerce,,114661,Y,501(c)(4),2010
Foundation For A Secure & Prosperous America,,111407,Y,501(c)(4),2010
Citizen Action of Wisconsin,,110617,Y,501(c)(4),2010
Enterprise Freedom Action Cmte,Berman & Co,105978,Y,501(c)(4),2010
Michigan Credit Union League,Credit Union National Assn,103870,Y,501(c)(6),2010
Hispanic Leadership Fund,,100000,Y,501(c)(4),2010
Building a Stronger Wisconsin,,95004,Y,501(c)(4),2010
Planned Parenthood Votes! Washington,Planned Parenthood,92228,Y,501(c)(4),2010
Filangieri Society for Justice & Good Government,,91901,N,501(c)(4),2010
Florida New Majority,,91891,Y,501(c)(4),2010
Gun Owners of America,,85275,Y,501(c)(4),2010
American First Credit Union,,84205,Y,Other,2010
Arizona Credit Union League,Credit Union National Assn,78536,N,501(c)(6),2010
America's Future Fund,,77572,N,501(c)(4),2010
USAction,,65363,Y,501(c)(4),2010
National Assn for Gun Rights,,58239,Y,501(c)(4),2010
Planned Parenthood/Mar Monte,Planned Parenthood,50280,Y,501(c)(4),2010
Freedom's Watch,,17259645,Y,501(c)(4),2008
US Chamber of Commerce,,16647261,Y,501(c)(6),2008
America's Agenda: Health Care for Kids,,11300000,Y,501(c)(4),2008
Americans for Job Security,,8974756,N,501(c)(6),2008
Vets for Freedom,,4824464,Y,501(c)(4),2008
One Campaign,,4618567,Y,501(c)(4),2008
Health Care for America Now,,3991856,N,501(c)(4),2008
American Rights at Work,,3762700,Y,501(c)(4),2008
AARP,,3633073,Y,501(c)(4),2008
Let Freedom Ring,,3535786,Y,501(c)(4),2008
American Issues Project,,2878872,N,501(c)(4),2008
Defenders of Wildlife Action Fund,Defenders of Wildlife,2821455,N,501(c)(4),2008
National Assn of Realtors,,2585018,Y,501(c)(4),2008
League of Conservation Voters,,2553048,Y,501(c)(4),2008
American Future Fund,,2334899,Y,501(c)(4),2008
NARAL Pro-Choice America,,2307853,Y,501(c)(4),2008
Progressive Future,,2006436,Y,501(c)(4),2008
Advancing Wisconsin,,1752459,N,501(c)(4),2008
Alliance for a Better Minnesota,ProgressNow,1597203,Y,501(c)(4),2008
Republican Jewish Coalition,,1364502,Y,501(c)(4),2008
NRA Institute for Legislative Action,National Rifle Assn,1217269,Y,501(c)(4),2008
American Energy Alliance,,845116,Y,501(c)(4),2008
National Right to Life,Right to Life,831152,Y,501(c)(4),2008
Susan B Anthony List,,824961,Y,501(c)(4),2008
National Federation of Independent Business,,823278,Y,501(c)(6),2008
Environmental Defense Action Fund,Environmental Defense Fund,711646,N,501(c)(4),2008
American Medical Assn,,699055,Y,501(c)(6),2008
Coloradans for Economic Growth,,670562,N,501(c)(4),2008
Judicial Confirmation Network,,571063,N,501(c)(4),2008
Defenders of Wildlife,,544174,Y,501(c)(4),2008
Focus on the Family,,504541,Y,501(c)(4),2008
Americans for Prosperity,,462291,Y,501(c)(4),2008
Powerpac.org,,409517,Y,501(c)(4),2008
Environment Colorado,Environment America,402825,N,501(c)(4),2008
Working America,AFL-CIO,400677,Y,501(c)(4),2008
Club for Growth,,367891,Y,501(c)(4),2008
Common Sense Issues,,326971,Y,501(c)(4),2008
Planned Parenthood/Minnesota,Planned Parenthood,297620,Y,501(c)(4),2008
They Work for Us,,229166,N,501(c)(4),2008
Planned Parenthood/Oregon,Planned Parenthood,222548,N,501(c)(4),2008
Winning Message Action Fund,,214928,N,501(c)(4),2008
Environment America,,214848,Y,501(c)(4),2008
Votevets.org,,204542,N,501(c)(4),2008
Mayors Against Illegal Guns,Everytown for Gun Safety,191605,Y,501(c)(4),2008
Sierra Club,,177716,Y,501(c)(4),2008
Filangieri Society for Justice & Good Government,,153422,N,501(c)(4),2008
National Assn of Home Builders,,112900,Y,501(c)(6),2008
Friends of the Earth Action,Friends of the Earth,102428,Y,501(c)(4),2008
California Assn of Realtors,National Assn of Realtors,100015,N,501(c)(6),2008
Association of Community Orgs For Reform Now,,99987,N,501(c)(4),2008
Women's Voices Women Vote Action Fund,Women's Voices Women Vote,87528,Y,501(c)(4),2008
Louisiana Conservative Action Network,,86914,N,501(c)(4),2008
Planned Parenthood/Mar Monte,Planned Parenthood,82490,Y,501(c)(4),2008
Americas Majority,,65044,N,501(c)(4),2008
American Family Business Institute,,65000,N,501(c)(6),2008
Planned Parenthood/St Louis Region,Planned Parenthood,59513,Y,501(c)(4),2008
National Taxpayers Union,,51503,Y,501(c)(4),2008
National Assn of Realtors,,3158163,Y,501(c)(6),2006
American Medical Assn,,592667,Y,501(c)(6),2006
League of Conservation Voters,,472062,Y,501(c)(4),2006
Defenders of Wildlife Action Fund,Defenders of Wildlife,354341,N,501(c)(4),2006
Humane Society Legislative Fund,Humane Society of the US,308758,Y,501(c)(4),2006
NARAL Pro-Choice America,,263475,Y,501(c)(4),2006
Focus on the Family,,207184,Y,501(c)(4),2006
National Federation of Independent Business,,168709,Y,501(c)(6),2006
Sierra Club,,164226,Y,501(c)(4),2006
American Assn for Justice,,90628,Y,501(c)(6),2006
National Wildlife Action,,90000,N,501(c)(4),2006
National Right to Life,Right to Life,88397,Y,501(c)(4),2006
Connecticut Citizen Action Group,Citizen Action,73244,Y,501(c)(4),2006
NRA Institute for Legislative Action,National Rifle Assn,64157,Y,501(c)(4),2006
National Assn of Realtors,,1336361,Y,501(c)(6),2004
NRA Institute for Legislative Action,National Rifle Assn,1027090,Y,501(c)(4),2004
Sierra Club,,787943,Y,501(c)(4),2004
Defenders of Wildlife Action Fund,Defenders of Wildlife,592534,N,501(c)(4),2004
American Medical Assn,,450036,Y,501(c)(6),2004
Focus on the Family,,210244,Y,501(c)(4),2004
National Federation of Independent Business,,207563,Y,501(c)(6),2004
NARAL Pro-Choice America,,186775,Y,501(c)(4),2004
Associated Builders & Contractors,,138134,Y,501(c)(6),2004
Planned Parenthood/Los Angeles,Planned Parenthood,122052,Y,501(c)(4),2004
Planned Parenthood/Pennsylvania,Planned Parenthood,89704,Y,501(c)(4),2004
US Chamber of Commerce,,74712,Y,501(c)(6),2004
Planned Parenthood/Florida,Planned Parenthood,63394,N,501(c)(4),2004
Planned Parenthood/North Texas,Planned Parenthood,60377,N,501(c)(4),2004
National Abortion Rights Action League,,1332255,Y,501(c)(4),2002
League of Conservation Voters,,935027,Y,501(c)(4),2002
National Assn of Realtors,,638605,Y,501(c)(6),2002
National Federation of Independent Business,,348242,Y,501(c)(6),2002
American Medical Assn,,310244,Y,501(c)(6),2002
NRA Institute for Legislative Action,National Rifle Assn,224553,Y,501(c)(4),2002
Association of Trial Lawyers of America,,88068,Y,501(c)(6),2002
Sierra Club,,83394,Y,501(c)(4),2002
American First Credit Union,,73995,Y,Other,2002
Bellco Credit Union,,52692,Y,Other,2002
National Abortion Rights Action League,,6599622,Y,501(c)(4),2000
NRA Institute for Legislative Action,National Rifle Assn,1795476,Y,501(c)(4),2000
League of Conservation Voters,,1183829,Y,501(c)(4),2000
National Assn of Realtors,,492735,Y,501(c)(6),2000
National Federation of Independent Business,,446243,Y,501(c)(6),2000
Sierra Club,,224381,Y,501(c)(4),2000
National Assn of Home Builders,,125856,Y,501(c)(6),2000
Associated Builders & Contractors,,50306,Y,501(c)(6),2000
NRA Institute for Legislative Action,National Rifle Assn,642749,Y,501(c)(4),1998
National Assn of Realtors,,614754,Y,501(c)(6),1998
National Federation of Independent Business,,323390,Y,501(c)(6),1998
League of Conservation Voters,,248156,Y,501(c)(4),1998
Sierra Club,,80045,Y,501(c)(4),1998
US Chamber of Commerce,,61101,Y,501(c)(6),1998
NRA Institute for Legislative Action,National Rifle Assn,527361,Y,501(c)(4),1996
National Assn of Realtors,,465024,Y,501(c)(6),1996
National Federation of Independent Business,,215118,Y,501(c)(6),1996
League of Conservation Voters,,152865,Y,501(c)(4),1996
US Chamber of Commerce,,109036,Y,501(c)(6),1996
Michigan Right to Life,Right to Life,102902,Y,501(c)(4),1996
Association of Trial Lawyers of America,,87094,Y,501(c)(6),1996
American Medical Assn,,78921,Y,501(c)(6),1996
NRA Institute for Legislative Action,National Rifle Assn,1933224,Y,501(c)(4),1994
National Assn of Realtors,,448368,Y,501(c)(6),1994
Ohio Citizen Action,Citizen Action,275035,Y,501(c)(4),1994
National Federation of Independent Business,,162243,Y,501(c)(6),1994
NRA Institute for Legislative Action,National Rifle Assn,2830484,Y,501(c)(4),1992
National Assn of Realtors,,537051,Y,501(c)(6),1992
California Assn Of Realtors,National Assn of Realtors,170985,Y,501(c)(6),1992
National Federation of Independent Business,,69302,Y,501(c)(6),1992
Sierra Club,,68022,Y,501(c)(4),1992
National Abortion Rights Action League,,57807,Y,501(c)(4),1992
National Abortion Rights Action League,,452267,Y,501(c)(4),1990
NRA Institute for Legislative Action,National Rifle Assn,349535,Y,501(c)(4),1990
National Assn of Realtors,,209144,Y,501(c)(6),1990
National Cmte to Preserve Social Security,,135290,Y,501(c)(4),1990
National Federation of Independent Business,,94693,Y,501(c)(6),1990
